SKU;Nombre;EAN;Precio por unidad;Precio internet;Marca
298167;Papas Pre Fritas  500 g;400006308085;Precio x Kg : $2 780;1750;Lider
488247;Porotos Verdes Corte Francés  350 g;7801220001180;Precio x Kg : $2 857;1190;Lider
2287;Papas Duquesas  500 g;7801220001340;Precio x Kg : $2 780;1750;Lider
1064699;Acelga  350 g;400007308503;Precio x Kg : $3 685;1290;Lider
1064701;Coliflor  350 g;400007308510;Precio x Kg : $3 000;1290;Lider
1064703;Calabaza Butternut  500 g;400007308527;Precio x Kg : $2 900;1450;Lider
300693;Choclo en Grano  500 g;7801220431109;Precio x Kg : $4 180;2090;Minuto Verde
279683;Choclos En Granos  500 g;7801300301049;Precio x Kg : $3 500;1750;Frutos del Maipo
2293;Papas Pre Fritas  1 kg;7801220001319;Precio x Kg : $2 990;2990;Lider
279687;Sofrito Congelado  150 g;7801300000409;Precio x Kg : $5 600;840;Frutos del Maipo
298135;Papas Duquesas  1 kg;7801220001326;Precio x Kg : $3 350;3350;Lider
279695;Poroto Verde Corte Normal  350 g;7801300000034;Precio x Kg : $4 714;1650;Frutos del Maipo
